Year,Title,Subject,Actor,Actress,Director
1990,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almodóvar, Pedro"
1991,High Heels,Comedy,"Bosé, Miguel","Abril, Victoria","Almodóvar, Pedro"
1983,"Dead Zone, The",Horror,"Walken, Christopher","Adams, Brooke","Cronenberg, David"
1979,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard"
1978,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence"
1983,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John"
1984,Target Eagle,Action,"Connors, Chuck","Adams, Maud","Loma, José Antonio de la"
1989,"American Angels: Baptism of Blood, The",Drama,"Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly"
1985,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc"
1990,Camille Claudel,Drama,"Depardieu, Gérard","Adjani, Isabelle","Nuytten, Bruno"
1982,Fanny and Alexander,Drama,"Ahlstedt, Börje","Adolphson, Kristina","Bergman, Ingmar"
1982,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo"
1966,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1986,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1966,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1985,"Official Story, The",Drama,"Alterio, Hector","Aleandro, Norma","Puenzo, Luiz"
1976,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz"
1929,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred"
1963,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John"
1988,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford"
1988,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard"
1981,Raiders of the Lost Ark,Action,"Ford, Harrison","Allen, Karen","Spielberg, Steven"
1987,"Running Man, The",Science Fiction,"Schwarzenegger, Arnold","Alonso, Maria Conchita","Glaser, Paul Michael"
1991,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen"
1988,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis"
1990,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam"
1988,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary"
1980,Happy Birthday to Me,Horror,"Ford, Glenn","Anderson, Melissa Sue","Thompson, J. Lee"
1989,Final Notice,Mystery,"Gerard, Gil","Anderson, Melody","Stern, Steven Hilliard"
1979,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert"
1960,"Devil's Eye, The",Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar"
1957,Wild Strawberries,Drama,"Sjöström, Victor","Andersson, Bibi","Bergman, Ingmar"
1956,"Seventh Seal, The",Drama,"Sydow, Max von","Andersson, Bibi","Bergman, Ingmar"
1992,Germicide,Drama,"Taylor, Rod","Andersson, Bibi",
1955,Dreams,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar"
1955,"Naked Night, The",Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar"
1962,Through a Glass Darkly,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar"
1972,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar"
1958,"Barbarian & the Geisha, The",Action,"Wayne, John","Ando, Eiko","Huston, John"
1967,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken"
1962,Dr. No,Action,"Connery, Sean","Andress, Ursula","Young, Terence"
1954,Elephant Walk,Drama,"Finch, Peter","Andrews, Dana",
